"Core_Speed","L2_Cache","Max_Power","Memory","Memory_Bandwidth","Memory_Speed","TMUs","Texture_Rate","Release_Date"
NA,0,75,512,53.1,830,16,11,"03-Jan-2008 "
NA,0,65,256,NA,NA,4,2,"01-Jan-2008 "
NA,0,145,1536,163.2,850,48,32,"10-Apr-2008 "
NA,0,25,256,8,500,4,2,"10-Dec-2007 "
NA,0,NA,NA,NA,NA,4,2,"01-Mar-2008 "
NA,0,NA,NA,NA,NA,4,3,"06-Aug-2008 "
NA,0,NA,NA,3.2,400,4,2,"01-Mar-2008 "
NA,0,NA,NA,NA,NA,4,2,"01-Jan-2009 "
300,1024,47,128,29.9,933,8,9,"02-Jun-2015 "
300,512,28,NA,29.9,933,8,9,"05-Jan-2015 "
200,1024,47,128,12.8,800,8,10,"27-Jul-2013 "
300,512,15,NA,34.1,1067,16,15,"01-Sep-2015 "
NA,0,12,NA,17.1,533,NA,NA,"01-Sep-2008 "
300,512,28,NA,34.1,1067,8,9,"01-Sep-2015 "
NA,0,125,4096,174.3,1362,128,109,"23-Nov-2014 "
723,768,125,4096,160,1250,128,93,"09-Jun-2015 "
850,512,100,4096,153.6,1200,80,72,"09-Jun-2015 "
NA,0,NA,NA,8.5,533,NA,NA,"20-Sep-2010 "
723,768,125,4096,160,1250,128,93,"13-May-2016 "
900,512,100,4096,160,1250,80,76,"09-Jun-2015 "
850,NA,200,4096,307.2,1200,80,144,"01-Jan-2014 "
NA,0,35,NA,8.5,533,NA,NA,"30-Mar-2010 "
280,1024,9,NA,8.5,533,8,3,"05-Jun-2012 "
700,NA,100,2048,128,1000,40,56,"07-Jan-2010 "
NA,0,35,1024,25.6,800,32,22,"05-May-2010 "
700,256,50,1024,64,1000,40,28,"07-Jan-2010 "
625,256,39,1024,64,1000,40,25,"07-Jan-2010 "
500,256,24,1024,25.6,800,40,20,"07-Jan-2010 "
850,512,100,4096,153.6,1200,80,72,"09-Jan-2014 "
650,256,26,1024,25.6,800,20,13,"07-Jan-2010 "
650,256,30,1024,51.2,800,20,13,"07-Jan-2010 "
450,256,15,1024,25.6,800,20,9,"07-Jan-2010 "
750,128,15,1024,12.8,800,8,6,"07-Jan-2010 "
NA,0,35,1024,25.6,800,32,18,"05-May-2010 "
NA,0,20,1024,19.2,600,32,14,"05-May-2010 "
NA,0,15,1024,12.8,800,8,6,"05-May-2010 "
NA,0,15,512,12.8,800,8,6,"07-Jan-2010 "
NA,0,10,1024,9.6,600,8,4,"05-May-2010 "
850,NA,200,4096,307.2,1200,80,144,"01-May-2013 "
NA,0,15,1024,14.4,900,8,6,"07-Jan-2010 "
675,128,11,1024,12.8,800,8,5,"07-Jan-2010 "
850,512,100,2048,153.6,1200,80,72,"14-May-2013 "
NA,0,13,512,12.8,800,8,4,"05-May-2010 "
NA,0,35,1024,28.8,900,32,19,"07-Jan-2010 "
500,128,7,1024,12.8,800,8,4,"07-Jan-2010 "
550,256,25,1024,51.2,800,20,11,"07-Jan-2010 "
NA,256,50,2048,72,1125,40,31,"01-Apr-2013 "
NA,256,45,2048,72,1125,40,29,"01-Apr-2013 "
850,256,35,2048,64,1000,24,22,"01-Apr-2013 "
NA,256,35,2048,32,1000,24,15,"01-Apr-2013 "
775,256,20,2048,72,1125,24,20,"01-Apr-2013 "
NA,256,45,2048,32,1000,40,31,"01-Apr-2013 "
620,256,20,2048,64,1000,24,19,"26-Feb-2013 "
775,256,NA,1024,36,1125,24,20,"01-Jan-2013 "
650,256,15,1024,32,1000,24,17,"01-Apr-2013 "
670,256,20,2048,28.8,900,24,20,"26-Feb-2013 "
775,256,NA,1024,14.4,900,24,20,"01-Mar-2013 "
650,256,NA,1024,36,1125,24,17,"01-Jan-2013 "
NA,0,NA,1024,14.4,900,24,17,"01-Jan-2013 "
775,256,NA,2048,14.4,900,24,20,"01-Mar-2013 "
680,512,75,2048,115.2,900,48,33,"04-Jan-2011 "
NA,0,25,NA,25.6,800,8,5,"23-May-2013 "
580,512,50,1024,115.2,900,48,28,"04-Jan-2011 "
675,256,50,1024,25.6,800,40,27,"04-Jan-2011 "
575,256,39,2048,25.6,800,40,23,"04-Jan-2011 "
675,256,50,1024,64,1000,40,27,"04-Jan-2011 "
725,256,35,2048,51.2,800,24,17,"01-Jan-2011 "
715,512,100,2048,115.2,900,56,40,"12-Jul-2011 "
725,256,35,1024,51.2,800,24,17,"04-Jan-2011 "
600,256,NA,512,51.2,800,24,14,"01-Jan-2011 "
600,256,NA,1024,51.2,800,24,14,"04-Jan-2011 "
600,256,NA,1024,25.6,800,24,14,"04-Jan-2011 "
650,256,30,1024,51.2,800,20,13,"26-Nov-2010 "
725,256,39,1024,25.6,800,24,17,"04-Jan-2011 "
485,256,26,1024,25.6,800,24,12,"04-Jan-2011 "
600,256,26,1024,25.6,800,20,12,"26-Nov-2010 "
800,128,11,1024,12.8,800,8,6,"04-Jan-2011 "
750,128,14,512,25.6,800,8,6,"04-Jan-2011 "
500,256,26,1024,25.6,800,20,10,"26-Nov-2010 "
600,128,11,1024,12.8,800,8,5,"04-Jan-2011 "
750,128,11,1024,12.8,800,8,6,"26-Nov-2010 "
500,128,7,1024,14.4,900,8,4,"26-Nov-2010 "
480,128,11,1024,12.8,800,8,4,"04-Jan-2011 "
500,128,7,1024,12.8,800,8,4,"26-Nov-2010 "
NA,0,15,NA,25.6,800,8,4,"01-Aug-2013 "
NA,0,8,NA,17.1,533,8,3,"23-May-2013 "
NA,0,15,NA,25.6,800,8,4,"01-Sep-2013 "
NA,0,18,NA,NA,NA,8,4,"16-Nov-2010 "
NA,0,4,NA,17.1,533,8,2,"23-May-2013 "
NA,0,9,NA,25.6,800,8,3,"07-Jan-2011 "
NA,0,9,NA,NA,NA,8,2,"09-Nov-2010 "
NA,0,8,NA,NA,NA,8,2,"23-May-2013 "
700,512,75,2048,128,1000,8,6,"01-May-2012 "
NA,0,15,NA,21.3,667,8,3,"01-Nov-2013 "
NA,0,18,NA,NA,NA,8,4,"09-Nov-2010 "
675,256,40,2048,64,1000,40,27,"24-Apr-2012 "
800,256,45,2048,64,1000,40,32,"24-Apr-2012 "
675,256,32,2048,64,1000,32,22,"24-Apr-2012 "
850,512,100,2048,153.6,1200,80,68,"01-May-2012 "
850,NA,200,4096,307.2,1200,80,136,"01-May-2012 "
575,256,25,2048,28.8,900,32,22,"23-Apr-2012 "
725,256,25,1024,57.6,900,24,17,"07-Jan-2013 "
600,256,20,1024,28.8,900,24,14,"07-Jan-2012 "
500,256,20,1024,28.8,900,24,12,"07-Jan-2012 "
600,256,20,2048,28.8,900,24,14,"07-Jan-2012 "
575,256,28,1024,64,1000,32,18,"24-Apr-2012 "
675,256,32,1024,64,1000,32,22,"24-Apr-2012 "
725,256,20,1024,28.8,900,24,17,"25-Dec-2011 "
450,256,20,1024,25.6,800,24,11,"07-Jan-2012 "
450,256,20,1024,25.6,800,20,9,"07-Jan-2012 "
450,256,14,1024,25.6,800,24,11,"07-Jan-2012 "
600,256,18,1024,25.6,800,24,14,"07-Jan-2012 "
450,256,11,1024,12.8,800,20,9,"07-Jan-2012 "
450,256,11,1024,14.4,900,20,9,"07-Jan-2012 "
500,256,14,2048,14.4,900,24,12,"07-Jan-2012 "
500,256,13,1024,25.6,800,24,12,"07-Jan-2012 "
600,128,7,1024,14.4,900,8,5,"07-Jan-2012 "
700,128,7,1024,14.4,900,8,6,"07-Jan-2012 "
800,128,7,512,14.4,900,8,6,"07-Jan-2012 "
800,128,9,1024,30.4,950,8,6,"07-Jan-2012 "
750,128,11,1024,12.8,800,8,6,"07-Jan-2012 "
523,1024,18,NA,10.7,667,8,5,"06-Jun-2012 "
500,128,7,1024,14.4,900,4,2,"07-Jan-2012 "
500,128,5,1024,12.8,800,4,2,"07-Jan-2012 "
500,1024,18,NA,8.5,533,8,4,"05-Jun-2012 "
NA,0,75,2048,64,1000,56,52,"01-Jun-2014 "
NA,256,50,2048,64,1000,40,37,"09-Mar-2014 "
NA,256,35,2048,64,1000,40,25,"09-Jan-2014 "
NA,0,50,2048,64,1000,40,NA,"09-Mar-2014 "
